country,cover,director,genre,mark,playable,rank,rater,release_date,starring,title
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,剧情 历史 爱情 战争,9.3,[不可播放],34,702420人评价,1939,主演: 费...,乱世佳人
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589700.jpg,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,剧情 喜剧 动画 冒险,9.1,[不可播放],35,1346286人评价,2009,主演: 爱德...,飞屋环游记
韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,导演: 李濬益 Jun-ik Lee,剧情,9.3,[不可播放],36,697745人评价,2013,主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,素媛
日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,导演: 宫崎骏 Hayao Miyazaki,动画 奇幻 冒险,9.1,[不可播放],37,1043689人评价,2004,主演: 倍赏千惠子 Chieko Baishô / 木村拓...,哈尔的移动城堡
美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,导演: Sidney Lumet,剧情,9.4,[不可播放],38,500362人评价,1957,主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,十二怒汉
黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,导演: 娜丁·拉巴基 Nadine Labaki,剧情,9.1,[不可播放],39,1060137人评价,2018,主演: 扎因·拉费阿 Zain al-Rafeea / ...,何以为家
印度,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,导演: 涅提·蒂瓦里 Nitesh Tiwari,剧情 传记 运动 家庭,9.0,[不可播放],40,1590422人评价,2016,主演: 阿米尔·汗 Aamir Khan / 法缇玛...,摔跤吧！爸爸
中国大陆 中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,导演: 姜文 Wen Jiang,剧情 喜剧 动作 西部,9.0,[不可播放],41,1724984人评价,2010,主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,让子弹飞
美国 加拿大,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,传记 犯罪 剧情,9.1,[不可播放],42,1047119人评价,2002,主演: 莱昂纳多·迪卡普里奥 L...,猫鼠游戏
日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg,导演: 宫崎骏 Hayao Miyazaki,动画 奇幻 冒险,9.2,[不可播放],43,890343人评价,1986,主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,天空之城
中国大陆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,导演: 姜文 Wen Jiang,剧情 喜剧,9.3,[不可播放],44,636700人评价,2000,主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,鬼子来了
美国 中国台湾 英国 加拿大,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896590696.jpg,导演: 李安 Ang Lee,剧情 奇幻 冒险,9.1,[不可播放],45,1366587人评价,2012,主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,少年派的奇幻漂流
德国 瑞士,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,导演: 阿兰·葛斯彭纳 Alain Gsponer,剧情 冒险 家庭,9.3,[不可播放],46,633036人评价,2015,主演: 阿努克·斯特芬 Anuk Steffen /...,海蒂和爷爷
英国 法国 波兰 德国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg,导演: 罗曼·波兰斯基 Roman Polanski,剧情 传记 战争 音乐,9.3,[不可播放],47,653696人评价,2002,主演: 艾德里安·布洛迪 Adrien Brod...,钢琴家
中国香港 中国大陆,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,导演: 刘镇伟 Jeffrey Lau,喜剧 爱情 奇幻 古装,9.0,[不可播放],48,1237912人评价,1995,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,大话西游之月光宝盒
美国 新西兰,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,导演: 彼得·杰克逊 Peter Jackson,剧情 动作 奇幻 冒险,9.2,[不可播放],49,765806人评价,2002,主演: 伊利亚·伍德 Elijah Wood / 西恩...,指环王2：双塔奇兵
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,导演: 马丁·布莱斯 Martin Brest,剧情,9.1,[不可播放],50,902287人评价,1992,主演: 阿尔·帕西诺 Al Pacino / 克里斯...,闻香识女人
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,导演: 彼得·威尔 Peter Weir,剧情,9.2,[不可播放],51,742156人评价,1989,主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,死亡诗社
美国 中国大陆,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,导演: 彼得·法雷里 Peter Farrelly,剧情 喜剧 传记 音乐,8.9,[不可播放],52,1676567人评价,2018,主演: 维果·莫腾森 Viggo Mortensen /...,绿皮书
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,导演: 威廉·惠勒 William Wyler,喜剧 剧情 爱情,9.1,[不可播放],53,962336人评价,1953,主演: 奥黛丽·赫本 Audrey Hepburn / 格...,罗马假日
中国大陆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,导演: 万籁鸣 Laiming Wan,剧情 动画 奇幻 古装,9.4,[不可播放],54,446397人评价,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,大闹天宫
意大利 法国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,剧情 爱情,9.2,[不可播放],55,686464人评价,1988,主演: 菲利普·努瓦雷 Philipp...,天堂电影院
新西兰 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg,导演: 彼得·杰克逊 Peter Jackson,剧情 动作 奇幻 冒险,9.1,[不可播放],56,860580人评价,2001,主演: 伊利亚·伍德 Elijah Wood / 西恩...,指环王1：护戒使者
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,动作 科幻,9.1,[不可播放],57,849940人评价,1999,主...,黑客帝国
美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,剧情 犯罪,9.3,[不可播放],58,562411人评价,1974,主演: 阿尔·帕西诺 A...,教父2
美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896590826.jpg,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,动画 冒险 歌舞,9.1,[不可播放],59,856805人评价,1994,主演: 乔纳森·泰勒·托马...,狮子王
